港澳,#genre#
大愛海外台,https://pulltv3.wanfudaluye.com/live/tv3.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8?fbclid=IwAR2uErpXmasWyKXdAsf_7CmAt16pfI_p8LnqdgrwtxWmErj7tq4NSTRtnPc

台灣,#genre#
民視新聞,http://210.61.56.23/hls/ftvtv/index.m3u8
靖天卡通,http://61.58.60.230:9319/live/207.m3u8
靖天國際,http://61.58.60.230:9319/live/205.m3u8
靖天戲劇,http://61.58.60.230:9319/live/203.m3u8
靖天日本,http://61.58.60.230:9319/live/243.m3u8
靖天歡樂,http://61.58.60.230:9319/live/201.m3u8
靖天育樂,http://61.58.60.230:9319/live/204.m3u8
靖天資訊,http://61.58.60.230:9319/live/202.m3u8
靖天映畫,http://61.58.60.230:9319/live/244.m3u8
靖洋卡通,http://61.58.60.230:9319/live/206.m3u8
幸福空間,http://61.58.60.230:9319/live/80.m3u8
幸福空間居家,http://61.58.60.230:9319/live/125.m3u8
國會頻道1,http://61.58.60.230:9319/live/123.m3u8
國會頻道2,http://61.58.60.230:9319/live/124.m3u8
歐洲新聞台,http://61.58.60.230:9319/live/129.m3u8
韓國新聞,http://61.58.60.230:9319/live/130.m3u8
法國新聞,http://61.58.60.230:9319/live/131.m3u8
CNEX紀實,http://61.58.60.230:9319/live/257.m3u8
韓國MTV,http://61.58.60.230:9319/live/130.m3u8
大愛2,http://61.58.60.230:9319/live/191.m3u8
人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv/chunklist_w1474469129.m3u8
原住民電視,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
華藏衛視,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
孝廉電視台,http://cdn257.ccdntech.com/live-http/_definst_/vod257_Live/live/playlist.m3u8
上德電視台,http://flv.ccdntech.com/live/_definst_/mp4:vod150_Live/live/playlist.m3u8
歐美影院,http://101.71.255.229:6610/zjhs/2/10037/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10037&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=Q894B3E8EEZ3T19UG09L8B03GSWB&ts=1553493266
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153

港台測試1,#genre#
有线 SPORTS 1,rtmp://161.202.204.248:1935/sat/hk011
有线18台,rtmp://161.202.204.248/sat/hk042
民视,rtmp://161.202.204.248/sat/tv052#rtmp://161.202.204.248:1935/sat/tv051
台视,rtmp://161.202.204.248/sat/tv071#rtmp://161.202.204.248:1935/sat/tv071
中视,rtmp://161.202.204.248/sat/tv091#rtmp://161.202.204.248:1935/sat/tv091
華视,rtmp://161.202.204.248:1935/sat/tv111
华视,rtmp://161.202.204.248/sat/tv112
TVBS·欢乐台,rtmp://161.202.204.248/sat/tv422#rtmp://161.202.204.248/sat/tv421
TVBS·新闻台,rtmp://161.202.204.248/sat/tv552
纬来体育,rtmp://161.202.204.248/sat/tv721#rtmp://161.202.204.248:1935/sat/tv721
纬来育乐,rtmp://161.202.204.248/sat/tv701#rtmp://161.202.204.248/sat/tv702#rtmp://161.202.204.248:1935/sat/tv701
纬来日本,rtmp://161.202.204.248:1935/sat/tv521#rtmp://161.202.204.248/sat/tv522
爱尔达体育一,rtmp://161.202.204.248/sat/md011
东森超视,rtmp://161.202.204.248/sat/tv772#rtmp://161.202.204.248:1935/sat/tv771#rtmp://161.202.204.248/sat/tv771
博斯魅力,rtmp://161.202.204.248/sat/md042
东森财经新闻,rtmp://161.202.204.248:1935/sat/tv571
MoMo综合台,rtmp://161.202.204.248/sat/tv761
TVBS欢乐,rtmp://161.202.204.248:1935/sat/tv421
TVBS新闻,rtmp://161.202.204.248:1935/sat/tv551
Mono综合,rtmp://161.202.204.248:1935/sat/tv761
FOX体育,rtmp://161.202.204.248:1935/sat/tv731
FOX2体育,rtmp://161.202.204.248:1935/sat/tv741
TVBS新聞,rtmp://161.202.204.248/sat/tv551
FOX体育3,rtmp://161.202.204.248:1935/sat/md031
fox3,rtmp://161.202.204.248:1935/sat/md021
ELTA1台,rtmp://161.202.204.248:1935/sat/md041
日本MLB,rtmp://161.202.204.248:1935/sat/jp071
博斯運動 II,rtmp://161.202.204.248:1935/sat/md051
CBS2 720,rtmp://161.202.204.248:1935/sat/us011
CBS2 480,rtmp://161.202.204.248:1935/sat/us012
FS1 480,rtmp://161.202.204.248:1935/sat/us031
FS1 352,rtmp://161.202.204.248:1935/sat/us032
有线18台,rtmp://59.124.75.153/sat/hk042
民视,rtmp://59.124.75.153/sat/tv051
台视,rtmp://59.124.75.153/sat/tv071
中视,rtmp://59.124.75.153/sat/tv091
华视,rtmp://59.124.75.153/sat/tv111
TVBS·欢乐台,rtmp://59.124.75.153/sat/tv421
TVBS欢乐,rtmp://59.124.75.153:1935/sat/tv421
TVBS·新闻台,rtmp://59.124.75.153/sat/tv551
TVBS新闻,rtmp://59.124.75.153:1935/sat/tv551
东森财经新闻,rtmp://59.124.75.153:1935/sat/tv571
纬来日本,rtmp://59.124.75.153:1935/sat/tv521
纬来日本,rtmp://59.124.75.153/sat/tv522
纬来育乐,rtmp://59.124.75.153/sat/tv701
纬来育乐,rtmp://59.124.75.153:1935/sat/tv701
纬来体育,rtmp://59.124.75.153/sat/tv721
纬来体育,rtmp://59.124.75.153:1935/sat/tv721
FOX体育,rtmp://59.124.75.153:1935/sat/tv731
FOX2体育,rtmp://59.124.75.153:1935/sat/tv741
MoMo综合台,rtmp://59.124.75.153/sat/tv761
Mono综合,rtmp://59.124.75.153:1935/sat/tv761
东森超视,rtmp://59.124.75.153/sat/tv771
东森超视,rtmp://59.124.75.153:1935/sat/tv771
爱尔达体育二,rtmp://59.124.75.153/sat/md011
爱尔达体育一,rtmp://59.124.75.153/sat/md021
ELEVEN+体育,rtmp://59.124.75.153:1935/sat/md031
博斯运动1,,rtmp://59.124.75.153:1935/sat/md041
ELEVEN2体育,rtmp://59.124.75.153/sat/md051
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv#rtmp://58.200.131.2:1935/livetv/startv
星空音乐,rtmp://58.200.131.3:1935/livetv/channelv
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports

电影系列,#genre#
FOX HD,http://198.16.106.62:8278/streams/d/foxhd_zero/playlist.m3u8
FOX動作電影,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FOX家庭電影,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
FOX犯罪電影,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
HBO原創電影,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
HBOHD,http://185.180.221.194:8278/streams/d/Hbo/playlist.m3u8
HBOHits,http://185.180.221.194:8278/streams/d/Hbohits/playlist.m3u8
HBOSignature,http://185.180.221.194:8278/streams/d/Hbosignature/playlist.m3u8
HBOSignature2,http://198.16.106.62:8278/streams/d/hbosignature_zero/playlist.m3u8
FOXCRIME,http://198.16.106.62:8278/streams/d/foxcrime_zero/playlist.m3u8
FOXActionMovies,http://198.16.106.62:8278/streams/d/foxaction_zero/playlist.m3u8
FoxFamilyMovies,http://198.16.106.62:8278/streams/d/foxfamily_zero/playlist.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索记录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索记录4K,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
求索二,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索三,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
求索四,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8
纬来电影台,http://198.16.106.62:8278/streams/d/videolandmovie_zero/playlist.m3u8
淘娱乐,http://39.135.238.69:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226551/1.m3u8
淘电影,http://39.134.134.85:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226552/1.m3u8
淘BABY,http://39.134.134.88:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226554/1.m3u8
萌宠TV,http://39.135.238.61:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226555/1.m3u8
大健康,http://39.135.238.67:80/otttv.bj.chinamobile.com/TVOD/88888888/224/3221226556/1.m3u8
5+频道,http://39.134.39.37/PLTV/88888888/224/3221226267/index.m3u8
6+频道,http://39.134.39.37/PLTV/88888888/224/3221226269/index.m3u8
8+频道,http://39.134.39.37/PLTV/88888888/224/3221226271/index.m3u8
野外频道,http://39.134.39.37/PLTV/88888888/224/3221226262/index.m3u8
法治频道,http://39.134.39.37/PLTV/88888888/224/3221226258/index.m3u8
谍战剧场,http://39.134.39.37/PLTV/88888888/224/3221226256/index.m3u8
相声小品,http://39.134.39.37/PLTV/88888888/224/3221226260/index.m3u8
动漫秀场,http://39.134.39.39/PLTV/88888888/224/3221226197/index.m3u8
极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226195/index.m3u8
极速赛车,http://39.134.39.39/PLTV/88888888/224/3221226310/index.m3u8
欢笑剧场,http://39.134.39.39/PLTV/88888888/224/3221226203/index.m3u8
都市剧场,http://39.134.39.39/PLTV/88888888/224/3221226176/index.m3u8
高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
星光影视,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
绍兴影视,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
凤凰电影,rtmp://58.200.131.2:1935/livetv/fhdy
动作片,#genre#
丛林奇航,https://vod.bunediy.com/20210731/htf0kjSn/index.m3u8
速度与激情1,https://vod.bunediy.com/20200504/hzsbE24q/index.m3u8
速度与激情2,https://vod.bunediy.com/20200508/XEPv04NL/index.m3u8
速度与激情3,https://vod.bunediy.com/20200502/o0W0XpNu/index.m3u8
速度与激情4,https://vod.bunediy.com/20201123/iGZ3KNq0/index.m3u8
速度与激情5,https://vod.bunediy.com/20200411/1LxuwQJG/index.m3u8
